NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 4019;R PAULO ANDRIGHETTI,   449, APT 123 - ALTO DO PARI - SAO PAULO - SP ;13489;4;
Cliente Ficticio 4021;R ANDRE NATALE,   277 - JARDIM POPULAR - SAO PAULO - SP ;28548;4;
Cliente Ficticio 4022;AV ROLAND GARROS,  1223, CASA 1 - JARDIM BRASIL (ZONA NORTE) - SAO PAULO - SP ;21051;4;
Cliente Ficticio 4023;V LOCAL C,16 - COMPENSA - MANAUS - AM ;38583;4;
Cliente Ficticio 4024;R DOZE,     6, FD - VILA NOVA - VILA VELHA - ES ;19846;4;
Cliente Ficticio 4025;R VILA RICA,  1571, APT 104 - JARDIM MONTANHES - BELO HORIZONTE - MG ;17825;4;
Cliente Ficticio 4026;R ALEXANDRE BENOIS,620,BL B  APT51 - VILA ANDRADE - SAO PAULO - SP ;23064;4;
Cliente Ficticio 4027;SQSW,303,BLJ,APT 516 - SETOR SUDOESTE - BRASILIA - DF ;21530;4;
Cliente Ficticio 4028;QNN,53,QD 18,  CJ H, CASA 53 FD 03 - CEILANDIA SUL - BRASILIA - DF ;22793;4;
Cliente Ficticio 4029;AV SALIM ELIAS BACACH,   374 - VILA OLIVEIRA - MOGI DAS CRUZES - SP ;29104;4;
Cliente Ficticio 4030;R IVETA DA SILVA CAMPOS,     3, CASA 1 - MARIANO DE ABREU - BELO HORIZONTE - MG ;20693;4;
Cliente Ficticio 4032;R TOURO,   109 - PARQUE SANTANA - SANTANA DE PARNAIBA - SP ;8324;4;
Cliente Ficticio 4033;QI, QD 24, LT 14/27, BL B, APT 712 - TAGUATINGA - BRASILIA - DF ;27499;4;
Cliente Ficticio 4034;R FABRICIO PILAR,   759, CASA 1 - CENTRO - BAGE - RS ;8119;4;
Cliente Ficticio 4035;R GUARACIABA,244 - CHACARA CALIFORNIA - SAO PAULO - SP ;35818;4;
Cliente Ficticio 4036;R JOAO DA CRUZ,   200, LJ 14 - PRAIA DO CANTO - VITORIA - ES ;11980;4;
Cliente Ficticio 4037;R MARANHAO,   150 - CENTRO - SOROCABA - SP ;9186;4;
Cliente Ficticio 4038;R OTAVIO CABRAL,    27 - PETROPOLIS - MANAUS - AM ;24859;4;
Cliente Ficticio 4039;R JALES,   300, CASA 2 - ANIL - RIO DE JANEIRO - RJ ;27617;4;
Cliente Ficticio 4040;R CAMPOS NOVOS,   562 - VILA LUCIA - SAO PAULO - SP ;21415;4;
Cliente Ficticio 4041;AV PRES JOAO CAFE FILHO,  3503, CASA 2 - DOS CASA - SAO BERNARDO DO CAMPO - SP ;1939;4;
Cliente Ficticio 4045;R FRANCISCO CROCOMO,    40 - ENGENHO VELHO - CAPIVARI - SP ;17502;4;
Cliente Ficticio 4046;R MARIA INES QUEIROS LOPES,    56 - CENTRO - NILOPOLIS - RJ ;10244;4;
Cliente Ficticio 4049;R DR SERGIO MARIO ALMEIDA,   368 - JARDIM MORADA DO SOL - INDAIATUBA - SP ;2162;4;
Cliente Ficticio 4050;R DIVINOPOLIS,   999, BL J, APT 302 - VELHA CENTRAL - BLUMENAU - SC ;14520;4;
Cliente Ficticio 4052;R OLAVO BILAC,    32, APT 307 - NOSSA SENHORA DE FATIMA - SANTA MARIA - RS ;28443;4;
Cliente Ficticio 4053;AV CAXINGUI,283,BL 1 AP 22 - JARDIM PIRAJUSSARA - SAO PAULO - SP ;5835;4;
Cliente Ficticio 4074;R DOM PEDRO II,1220,AP 3 BL - VILA GALO - AMERICANA - SP ;25855;4;
Cliente Ficticio 4075;R DR NELSON FERREIRA DA COSTA CHAVES,    32 - JARDIM BOTUCATU - SOROCABA - SP ;16912;4;
Cliente Ficticio 4088;R MAJ ALDROVANDO LEAO,   208 - AREAL - PELOTAS - RS ;9806;4;
Cliente Ficticio 4089;R ODILON MARTINS DE ANDRADE,   526, APT 102 - RECREIO DOS BANDEIRANTES - RIO DE JANEIRO - RJ ;16083;4;
Cliente Ficticio 4090;R SERRA DAS ARARAS,100 - JARDIM CANTAREIRA - SAO BERNARDO DO CAMPO - SP ;16879;4;
Cliente Ficticio 4091;R BPO WILLIAM THOMAS,260,B AP 203 - TERESOPOLIS - PORTO ALEGRE - RS ;14550;4;
Cliente Ficticio 4093;R VIRGILIO EUCLIDES MARTINS,    45 - VILA CARVALHO - SOROCABA - SP ;20980;4;
Cliente Ficticio 4094;R DAVID CALDAS,  5896 - VERMELHA - TERESINA - PI ;15117;4;
Cliente Ficticio 4095;R VSC DE CAIRU,   360 - VILA INDEPENDENCIA - SOROCABA - SP ;21761;4;
Cliente Ficticio 4096;R MILTON RESTINI,   290 - PARQUE DOS FLAMBOYANS - RIBEIRAO PRETO - SP ;21886;4;
Cliente Ficticio 4097;R TIRADENTES,  1837, BL 12, APT 52 - SANTA TEREZINHA - SAO BERNARDO DO CAMPO - SP ;14358;4;
Cliente Ficticio 4098;AV AUGUSTO DE LIMA,   444, APT 1303 - CENTRO - BELO HORIZONTE - MG ;29044;4;
Cliente Ficticio 4099;R MERCEDES SALANO CASTINEIRAS,   300, BL V, APT 61 - JARDIM PATENTE NOVO - SAO PAULO - SP ;13095;4;
Cliente Ficticio 4100;R JOSE CAMBRAIA DO NASCIMENTO,   129, BL 02, APT 403 - HAVAI - BELO HORIZONTE - MG ;10902;4;
Cliente Ficticio 4119;TV BARUERI,     7 - VILA BOA VISTA - BARUERI - SP ;9445;4;
Cliente Ficticio 4120;R CARLOS DE LAET,   137 - JARDIM JULIANA - MOGI DAS CRUZES - SP ;1936;4;
Cliente Ficticio 4121;R DIOMARIO MOOJEN,    90, APT 101A - CRISTAL - PORTO ALEGRE - RS ;10160;4;
Cliente Ficticio 4124;R JOSE ALVES DANTAS,    96 - VILA GOMES - SAO PAULO - SP ;28034;4;
Cliente Ficticio 4125;TV SOLEDADE,     7, APT 401 - PRACA DA BANDEIRA - RIO DE JANEIRO - RJ ;30669;4;
Cliente Ficticio 4127;R FORTUNATO BELOTTO,   100 - JARDIM CILA DE LUCIO BAUAB - JAU - SP ;5003;4;
Cliente Ficticio 4129;R DR EDUARDO CHARTIER,585,AP 804 - PASSO D'AREIA - PORTO ALEGRE - RS ;28449;4;
Cliente Ficticio 4130;R TEREZA VEIGA,164 - FREGUESIA DO O - SAO PAULO - SP ;15919;4;
Cliente Ficticio 4131;R ARGEMIRO SATYRO,     4, CASA 2 - BANDEIRAS - OSASCO - SP ;27466;4;
Cliente Ficticio 4133;R MIGUEL ARROJADO LISBOA,    54, CASA 3 - JARDIM MODELO - SAO PAULO - SP ;31608;4;
Cliente Ficticio 4134;R CORCOVADO,   134, BL 24 ARAPONGA, APT 11 - PARQUE RESIDENCIAL DA LAPA - SAO PAULO - SP ;6833;4;
Cliente Ficticio 4135;R DR CARMINO CAPRICCHIO,    36 - VILA TIRADENTES - SAO PAULO - SP ;14545;4;
Cliente Ficticio 4136;R BORBA GATO,   331, BL G - FLAMBOYANT, APT 203 - SANTO AMARO - SAO PAULO - SP ;26368;4;
Cliente Ficticio 4139;R BABACU,    52 - NEVES - PONTA GROSSA - PR ;15228;4;
Cliente Ficticio 4140;R LAGOA DA PRATA,   175, APT 202 - BOSQUE DOS EUCALIPTOS - SAO JOSE DOS CAMPOS - SP ;19753;4;
Cliente Ficticio 4141;R DR GALEAO CARVALHAL,51,AP.64 - GONZAGA - SANTOS - SP ;24273;4;
Cliente Ficticio 4142;R IBIRAPUERA,   931 - JARDIM IPIRANGA - AMERICANA - SP ;18508;4;
Cliente Ficticio 4143;R JOAO COELHO DA COSTA,218,CASA - CANASVIEIRAS - FLORIANOPOLIS - SC ;21832;4;
Cliente Ficticio 4144;R JOAO GUIMARAES,   160 - JARDIM NOVA MANCHESTER - SOROCABA - SP ;19108;4;
Cliente Ficticio 4145;AV D PEDRO II,  1219 - JARDIM - SANTO ANDRE - SP ;7979;4;
Cliente Ficticio 4146;R ANTONIO SEIXAS L RIBEIRO,    18, BL 131, APT 13 - JARDIM ALVORADA - SANTO ANDRE - SP ;18017;4;
Cliente Ficticio 4147;R GEN ROCA,176,APT403 - TIJUCA - RIO DE JANEIRO - RJ ;46627;4;
Cliente Ficticio 4148;R DR ELISIO DE CASTRO,   336, APT 41 - VILA DOM PEDRO I - SAO PAULO - SP ;18280;4;
Cliente Ficticio 4149;R CAMBUCI,   294 - CHACARAS MARCO - BARUERI - SP ;21734;4;
Cliente Ficticio 4151;R GREGORIO TAGLE,   284, CASA 3 - JARDIM IPANEMA (ZONA OESTE) - SAO PAULO - SP ;15997;4;
Cliente Ficticio 4152;R COREIA,   400, BL 4, APT 22 - PARQUE DAS NACOES - SANTO ANDRE - SP ;18048;4;
Cliente Ficticio 4153;R MANOEL DE ABREU,   406, CASA 2 - JARDIM PAULISTA - GUARULHOS - SP ;21371;4;
Cliente Ficticio 4154;R PST HENRIQUE CORREA,    52 - CJ HAB DR A V SILVA - ARACATUBA - SP ;8566;4;
Cliente Ficticio 4155;R DR ABELARDO CERQUEIRA CESAR,   290 - JARDIM BONFIM - CAMPINAS - SP ;19809;4;
Cliente Ficticio 4156;R AGUAPEI,   741 - VILA SANTO ESTEVAO - SAO PAULO - SP ;30854;4;
Cliente Ficticio 4157;AV S JOAO,   603 - SAO JUDAS - PIRACICABA - SP ;25556;4;
Cliente Ficticio 4158;R ARAUANA,   190, CASA 5 - VILA VALQUEIRE - RIO DE JANEIRO - RJ ;31178;4;
Cliente Ficticio 4159;R JUREIA,940,AP 152 - CHACARA INGLESA - SAO PAULO - SP ;27414;4;
Cliente Ficticio 4160;R TEODORO SAMPAIO,    97 - CERAMICA - SAO CAETANO DO SUL - SP ;16129;4;
Cliente Ficticio 4161;PSG PE MARCOS,    33 - TELEGRAFO SEM FIO - BELEM - PA ;23575;4;
Cliente Ficticio 4162;R BPO D GASTAO,249,CASA - VILA IRENE - SAO CARLOS - SP ;10121;4;
Cliente Ficticio 4163;TV CANTO DAS DUAS FLORES,1,FDS - VILA GRACIOSA - SAO PAULO - SP ;14419;4;
Cliente Ficticio 4165;R CEL LEITAO,   164, CASA 1 - IRAJA - RIO DE JANEIRO - RJ ;19846;4;
Cliente Ficticio 4166;R CAETES,   278 - JD S FRANCISCO - SANTA BARBARA D OESTE - SP ;7634;4;
Cliente Ficticio 4167;R OLIVEIRA LIMA,    49, APT 202 - GRAJAU - RIO DE JANEIRO - RJ ;48648;4;
Cliente Ficticio 4168;R MANUEL NUNES,    54 - VILA EDE - SAO PAULO - SP ;7523;4;
Cliente Ficticio 4169;AV S JOAO,  1380, CASA FD - CENTRO - CAXIAS DO SUL - RS ;16710;4;
Cliente Ficticio 4170;R TOME GIBSON,146,APT 504 -ED. ADA MELO - PINA - RECIFE - PE ;9415;4;
Cliente Ficticio 4171;R CELESTINO GIL VASQUEZ,   433 - BALNEARIO CIDADE ATLANTICA - GUARUJA - SP ;7895;4;
Cliente Ficticio 4172;R DIOGO FREIRE,549,CASA 1 - BOSQUE DA SAUDE - SAO PAULO - SP ;30997;4;
Cliente Ficticio 4173;R CMTE WAGNER,   399, APT 203 - SAO CRISTOVAO - LAJEADO - RS ;18060;4;
Cliente Ficticio 4174;PC N SRA DAS GRACAS,   269, CASA 01 - VILA VALENCA - SAO VICENTE - SP ;34555;4;
Cliente Ficticio 4175;R MTO JACO,   270, ED CAIOBA, APT 301 - MICHEL - CRICIUMA - SC ;18462;4;
Cliente Ficticio 4176;R ANTONIO FLORES,    32 - ARAGUAIA - BELO HORIZONTE - MG ;10128;4;
Cliente Ficticio 4177;R SCHILLING,   413, CJ 805 - VILA LEOPOLDINA - SAO PAULO - SP ;13660;4;
Cliente Ficticio 4178;R HENRY LEONARDOS,    32 - VILA IMPERIO - SAO PAULO - SP ;19878;4;
Cliente Ficticio 4179;R EUCLIDES PACHECO,   803, BL B, APT 1306 - VILA GOMES CARDIM - SAO PAULO - SP ;24612;4;
Cliente Ficticio 4180;R DR RENATO GRANADEIRO GUIMARAES,259,BL D ATP 3 - VILA MOGILAR - MOGI DAS CRUZES - SP ;4886;4;
Cliente Ficticio 4181;AV ANDRADE NEVES,   785, APT 2 - VILA HELENA - SANTO ANDRE - SP ;34844;4;
Cliente Ficticio 4182;R DAS LARANJEIRAS,120,BL C,  APT 21 - PARQUE TERRA NOVA - SAO BERNARDO DO CAMPO - SP ;14078;4;
Cliente Ficticio 4183;R MONTEIRO,   210 - VILA MONUMENTO - SAO PAULO - SP ;19283;4;
Cliente Ficticio 4184;R JOSE FABIANO BARCIK,   621, BL 9, APT 12 - CAJURU - CURITIBA - PR ;10160;4;
Cliente Ficticio 4185;R CANDIDO DA SILVA,    90 - VILA ALPINA - SAO PAULO - SP ;5759;4;
Cliente Ficticio 4187;SRV DAS VASSOURAS,41,CASA-4 - LAGOA DA CONCEICAO - FLORIANOPOLIS - SC ;60868;4;
Cliente Ficticio 4188;R DEMIFONTE,   291 - VILA FANTON - SAO PAULO - SP ;25519;4;
Cliente Ficticio 4189;R OSWALDO FONTES,     9 - SANTA CRUZ - RIO DE JANEIRO - RJ ;9334;4;
Cliente Ficticio 4190;R JOAO DAQUIL BICHUETTE,   200 - JARDIM PAIVA - RIBEIRAO PRETO - SP ;25168;4;
Cliente Ficticio 4191;R GUARARA,103,APT 61 - JARDIM PAULISTA - SAO PAULO - SP ;54927;4;
Cliente Ficticio 4193;R GUAICURUS,   110, APT 1 - AGUA BRANCA - SAO PAULO - SP ;1941;4;
Cliente Ficticio 4194;R BR DE PIRACICAMIRIM,  1063 - SAO DIMAS - PIRACICABA - SP ;25466;4;
Cliente Ficticio 4195;R ITACOARATI,    84 - VILA NAIR - SAO PAULO - SP ;21871;4;
Cliente Ficticio 4196;R HIPOLITO ANTONIO PINHEIRO,3341 - JARDIM INTEGRACAO - FRANCA - SP ;11419;4;
Cliente Ficticio 4197;R ELIAS,   107, CASA 1 - JARDIM JULIO - BARUERI - SP ;13243;4;
Cliente Ficticio 4198;R SILVANA MELLI,   147 - BELA VISTA - OSASCO - SP ;1175;4;
Cliente Ficticio 4199;QE, QD 01, BL B-01, APT 206 - GUARA I - BRASILIA - DF ;11990;4;
Cliente Ficticio 4201;R PE JOAO ECHEVARRIA TORRE,    18 - NOVA POMPEIA - PIRACICABA - SP ;11029;4;
Cliente Ficticio 4202;R PRTA JONAS,235,BL 03, APT 21 - VILA POMAR - MOGI DAS CRUZES - SP ;30715;4;
Cliente Ficticio 4203;R GEN HASTINFILO DE MOURA,   106, BL 2, APT 22 ESCIII - PARQUE SAO VICENTE - MAUA - SP ;15397;4;
Cliente Ficticio 4204;R NAZUR,    93 - JARDIM ESPER - JACAREI - SP ;1343;4;
Cliente Ficticio 4233;R DES PIRES DE CASTRO (ZONA SUL),   797 - CENTRO - TERESINA - PI ;14129;4;
Cliente Ficticio 4234;R JURUA,    12, CASA 1 - MAUA - SAO CAETANO DO SUL - SP ;18244;4;
Cliente Ficticio 4235;R CARLOTA DUQUE ESTRADA,100,CASA 02 - GALO BRANCO - SAO GONCALO - RJ ;32679;4;
Cliente Ficticio 4237;R AFONSO CELSO,  1380 - VILA MARIANA - SAO PAULO - SP ;38766;4;
Cliente Ficticio 4238;R MARIA INES PASTI PEDROSO,   376 - SAO LUIZ - ITU - SP ;25988;4;
Cliente Ficticio 4239;R ALM BALTAZAR,194,AP 503, BLOCO 2 - SAO CRISTOVAO - RIO DE JANEIRO - RJ ;8362;4;
Cliente Ficticio 4240;R MINAS GERAIS,   180, BL 1, APT 44 - ALVES DIAS - SAO BERNARDO DO CAMPO - SP ;8119;4;
Cliente Ficticio 4241;TV CAC APOENA,   485 - PARADA INGLESA - SAO PAULO - SP ;4653;4;
Cliente Ficticio 4242;AV PRESBITERIANA,   247 - VILA MURY - VOLTA REDONDA - RJ ;37571;4;
Cliente Ficticio 4243;TV RAFAEL BLANCO,   111, CASA A - VILA DIONISIA - SAO PAULO - SP ;26611;4;
Cliente Ficticio 4244;R DOS TAPES,56,BL B AP 21 - CAMBUCI - SAO PAULO - SP ;15119;4;
Cliente Ficticio 4245;R ALICANTE (CJ CIDADAO V),    39, QD 317 - NOVA CIDADE - MANAUS - AM ;29290;4;
Cliente Ficticio 4246;EST MORRO DOS OLHOS D'AGUA,   140, CASA 3 - JARDIM MARABA - SAO PAULO - SP ;17812;4;
Cliente Ficticio 4248;R IRINEU GALLO,   113 - SUPER QUADRA MORUMBI - SAO PAULO - SP ;4545;4;
Cliente Ficticio 4249;R PAU BRASIL,   780 - JARDIM RECREIO - RIBEIRAO PRETO - SP ;4622;4;
Cliente Ficticio 4250;AV BARTOLOMEU DE GUSMAO,    13, BL ITALIA, APT 82 - BOQUEIRAO - SANTOS - SP ;19948;4;
Cliente Ficticio 4251;SHIGS, QD 707, BL E, CASA 23 - ASA SUL - BRASILIA - DF ;28061;4;
Cliente Ficticio 4252;R BACTORIA,   408, CASA 01 - JARDIM VILA FORMOSA - SAO PAULO - SP ;15616;4;
Cliente Ficticio 4253;AV SARANDI,   820, SALA 1 - SARANDI - PORTO ALEGRE - RS ;14212;4;
Cliente Ficticio 4254;R JULIMAR DE SOUZA PAULO,   165 - JARDIM SAO PEDRO - MOGI DAS CRUZES - SP ;18323;4;
Cliente Ficticio 4255;R ALBANO KLEMS,  1111 - GLORIA - JOINVILLE - SC ;34576;4;
Cliente Ficticio 4256;R RIO NEGRO,   211 - OSVALDO CRUZ - SAO CAETANO DO SUL - SP ;28402;4;
Cliente Ficticio 4257;R BIAGIO MARINI,    46 - JARDIM DAS CARMELITAS - SAO PAULO - SP ;7640;4;
Cliente Ficticio 4259;R SCUPTOR,    82, CASA 02 - VILA DOS ANDRADES - CARAPICUIBA - SP ;46020;4;
Cliente Ficticio 4260;R VER PEDRO MEDEIROS,178,CASA - SERRARIA - SAO JOSE - SC ;16451;4;
Cliente Ficticio 4262;R CLAUDIO SALLES VICENTINI,    56 - JARDIM DOUTORA LILIANA - MOGI DAS CRUZES - SP ;13736;4;
Cliente Ficticio 4263;R SALUSTIANO CORDEIRO,    46, ED ITABIRA, APT 73 - AGUA VERDE - CURITIBA - PR ;41751;4;
Cliente Ficticio 4264;R DR OTAVIO SANTOS,   211, BL 9, APT 403 - JARDIM ITU SABARA - PORTO ALEGRE - RS ;34088;4;
Cliente Ficticio 4265;R IELMO MARINHO,   893, LJ A - PARQUE INDEPENDENCIA - SAO PAULO - SP ;12092;4;
Cliente Ficticio 4266;R PRIMEIRO DE MAIO,   124 - VILA NOVA - CUBATAO - SP ;7244;4;
Cliente Ficticio 4267;AV PENHA DE FRANCA,   653 - PENHA DE FRANCA - SAO PAULO - SP ;7802;4;
Cliente Ficticio 4268;RUA TANCREDO NEVES,295,104C - PARQUE 10 DE NOVEMBRO - MANAUS - AM ;40259;4;
Cliente Ficticio 4269;R ALEXANDRE CANALLI,   519 - RIO BRANCO - CAXIAS DO SUL - RS ;19552;4;
Cliente Ficticio 4270;R ARARIPE JUNIOR,   772 - VILA SUISSA - MOGI DAS CRUZES - SP ;33808;4;
Cliente Ficticio 4271;R ALASCA (CJ TAPAJOS),    45 - TAPANA (ICOARACI) - BELEM - PA ;2198;4;
Cliente Ficticio 4273;R T 51,   401, QD 74, LT 01/03, APT 204 - SETOR BUENO - GOIANIA - GO ;14489;4;
Cliente Ficticio 4274;AV SETE DE SETEMBRO,  1885, CASA FUNDOS - CENTRO - PASSO FUNDO - RS ;9982;4;
Cliente Ficticio 4275;R BELL ALIANCE,    94 - JARDIM SAO CAETANO - SAO CAETANO DO SUL - SP ;24940;4;
Cliente Ficticio 4276;R JOAO JACINTHO DE OLIVEIRA,    45 - CIDADE ARACY - SAO CARLOS - SP ;26513;4;
Cliente Ficticio 4277;R RIO PARAIBA DO SUL,   225 - EMAUS - PARNAMIRIM - RN ;11337;4;
Cliente Ficticio 4278;R DELMIRO LEAO (CJ R S PINTO I),   122 - CIDADE NOVA - MANAUS - AM ;14718;4;
Cliente Ficticio 4279;R PAULO CESAR,   269 - VILA MAZZEI - SAO PAULO - SP ;12448;4;
Cliente Ficticio 4280;AV NICOLAU JACINTO,   685, BL 6, APT 52 - JARDIM ARTUR ALVIM - SAO PAULO - SP ;10924;4;
Cliente Ficticio 4281;R GENI FORMIGA,    59 - CJ P C OLIVEIRA - RIO BRANCO - AC ;33133;4;
Cliente Ficticio 4282;R DOS QUILOMBOLAS,   341, ED GUARAJUBA, APT 14 - IMBUI - SALVADOR - BA ;23264;4;
Cliente Ficticio 4426;R LEOCADIA GONCALVES BARRETO TUCUNDUVA,    54, CASA 4 - JARDIM TUCUNDUVA - CARAPICUIBA - SP ;10987;4;
Cliente Ficticio 4448;R ALEXANDRE TEIXEIRA,   195, CASA /A - VILA EUTHALIA - SAO PAULO - SP ;83383;4;
Cliente Ficticio 4449;R JARDIM DA SAUDADE,   361 - BARRA - BALNEARIO CAMBORIU - SC ;46970;4;
Cliente Ficticio 4450;AV VALE DO TORORO,     1, / SN,   ESTAÇÃO DA LAPA, LJ 20 - TORORO - SALVADOR - BA ;13109;4;
Cliente Ficticio 4451;AV ENG FRANCISCO JOSE LONGO,   633, APT 173 - JARDIM SAO DIMAS - SAO JOSE DOS CAMPOS - SP ;14119;4;
Cliente Ficticio 4453;R SRG ANTONIO ERNESTO,   454, CASA 1 - PAVUNA - RIO DE JANEIRO - RJ ;21668;4;
Cliente Ficticio 4454;AV D PEDRO II,  1850, APT 8 - CAMPESTRE - SANTO ANDRE - SP ;9582;4;
Cliente Ficticio 4455;R MANOEL ANTONIO,132,CASA 1 - JARDIM DAS PALMAS - SAO PAULO - SP ;18189;4;
Cliente Ficticio 4456;R TIMBIRAS,   373, CASA 3 - TUPI - PRAIA GRANDE - SP ;7908;4;
Cliente Ficticio 4457;SCES TRECHO,0,[SCES , TR 4, LT 5,  APTO: B037T, BL B, - ASA SUL - BRASILIA - DF ;41294;4;
Cliente Ficticio 4458;R ROSANA ROCHA MOREIRA,    34 - JARDIM ALTOS DE SANTANA I - JACAREI - SP ;6020;4;
Cliente Ficticio 4459;R JOSE DOMINGOS DA CRUZ,   144, FT . - PARQUE SAO LUIS - TAUBATE - SP ;8423;4;
Cliente Ficticio 4460;R FRANCISCO PILATTI,224,CASA 04 - PILARZINHO - CURITIBA - PR ;18553;4;
Cliente Ficticio 4461;R AMARAL,    91, APT 202 - ANDARAI - RIO DE JANEIRO - RJ ;37062;4;
Cliente Ficticio 4462;R INACIO,   426 - VILA PRUDENTE - SAO PAULO - SP ;12081;4;
Cliente Ficticio 4463;R JOAO VENDRAMIN,   355 - SANTA FELICIDADE - CURITIBA - PR ;79113;4;
Cliente Ficticio 4464;R PRF GIAMPERO MONACCI,   150 - JD N HORIZONTE - MARINGA - PR ;5660;4;
Cliente Ficticio 4466;AV ANDROMEDA,1782 - JARDIM SATELITE - SAO JOSE DOS CAMPOS - SP ;5578;4;
Cliente Ficticio 4467;AV NICOLAU BECKER,   345 - CENTRO - NOVO HAMBURGO - RS ;11806;4;
Cliente Ficticio 4468;R DOS TUCUNARES,   500, LJ 100 - JARDIM MARIA MARTHA - MARILIA - SP ;13433;4;
Cliente Ficticio 4469;AV PAULO AYRES,75,BL 32 AP 34 - PARQUE PINHEIROS - TABOAO DA SERRA - SP ;1941;4;
Cliente Ficticio 4470;R PRUSSIA,  1598 - PARQUE PARAISO - ITAPECERICA DA SERRA - SP ;26191;4;
Cliente Ficticio 4471;CCSW, QD 02, LT 04, APT 148 - SETOR SUDOESTE - BRASILIA - DF ;41947;4;
Cliente Ficticio 4472;R CEL FERREIRA SOBRINHO,    66, CASA 2 - PETROPOLIS - MANAUS - AM ;19063;4;
Cliente Ficticio 4473;R EUCLIDES DA CUNHA,  1951 - JARDIM BRASILIA - ARACATUBA - SP ;11018;4;
Cliente Ficticio 4475;AV JABAQUARA,  2054, APT 151 - MIRANDOPOLIS - SAO PAULO - SP ;23879;4;
Cliente Ficticio 4476;R ARAGUAIA,   875, APT 504 - FREGUESIA (JACAREPAGUA) - RIO DE JANEIRO - RJ ;69419;4;
Cliente Ficticio 4477;R ATANAZIO SOARES,  1043, BL C, CASA 11 - VILA OLIMPIA - SOROCABA - SP ;18046;4;
Cliente Ficticio 4478;EST COPIUVA,  1500, BL 3 - LUA, APT 15 - VILA DA OPORTUNIDADE - CARAPICUIBA - SP ;18378;4;
Cliente Ficticio 4479;QNM, QD 08, CJ D, CASA 22 - CEILANDIA - BRASILIA - DF ;23980;4;
Cliente Ficticio 4480;R MATHILDE ZATAR,   231 - NONOAI - PORTO ALEGRE - RS ;11416;4;
Cliente Ficticio 4481;AV MARIA FONSECA DE MORAES,204 - OLARIA - ARACAJU - SE ;29120;4;
Cliente Ficticio 4482;R VER MARIO COELHO PIRES,   345, APT 904 - CAMPINAS - SAO JOSE - SC ;24231;4;
Cliente Ficticio 4483;R DJALMA RAFAEL,    12 - VILA TIETE - MOGI DAS CRUZES - SP ;2359;4;
Cliente Ficticio 4484;R APPA,   433 - VILA MONTE ALEGRE - RIBEIRAO PRETO - SP ;16561;4;
Cliente Ficticio 4486;R IPANEMA,   345 - MOOCA - SAO PAULO - SP ;5509;4;
Cliente Ficticio 4487;R JOSE DA COSTA TEIXEIRA,   486 - BONFIM PAULISTA - RIBEIRAO PRETO - SP ;16231;4;
Cliente Ficticio 4512;R SAO BENEDITO,773 - JARDIM ACLIMACAO - ARACATUBA - SP ;8427;4;
Cliente Ficticio 4513;R ENG SERAFIM VOLOSCHEN,   241 - CAMPINA DO SIQUEIRA - CURITIBA - PR ;49549;4;
Cliente Ficticio 4514;R RIO PARANAPANEMA,761,FUNDOS - JARDIM JOCKEI CLUB A - SAO CARLOS - SP ;23496;4;
Cliente Ficticio 4515;R EUDORO LINCOLN BERLINCK,   453 - JARDIM ARPOADOR - SAO PAULO - SP ;12979;4;
Cliente Ficticio 4516;R VSC DE TAUNAY,   443, APT 194 - VILA CRUZEIRO - SAO PAULO - SP ;26992;4;
Cliente Ficticio 4517;R LEONARDO PEDRO FORTE,   612 - JD DR LUCIANO - JAU - SP ;10943;4;
Cliente Ficticio 4518;R DOS ESTUDANTES,344,CASA 2 - JARDIM CAMPOS VERDES - HORTOLANDIA - SP ;22057;4;
Cliente Ficticio 4519;R HUMBERTO DEL CISTIA,   297, COND BELLA FIORE, CASA 36 - VILA MINEIRAO - SOROCABA - SP ;18705;4;
Cliente Ficticio 4520;R SEBASTIAO DE BARROS,   268 - JARDIM HELENA - SAO PAULO - SP ;34223;4;
Cliente Ficticio 4521;AL DOS JACARANDAS,    29 - COND. BOSQUE DA RIBEIRA - NOVA LIMA - MG ;20111;4;
Cliente Ficticio 4522;SHIS, QD QI15, CJ 06, CASA 22A - ST DE HB INDIVIDUAIS SUL - BRASILIA - DF ;20970;4;
Cliente Ficticio 4523;R FRIEDA,33 - NOVA GERTY - SAO CAETANO DO SUL - SP ;31558;4;
Cliente Ficticio 4525;AV D PEDRO I,  1398 - CONCEICAO - DIADEMA - SP ;29401;4;
Cliente Ficticio 4561;R OLGA FADEL ABARCA,   520, BL 3, APT 401 - JD STA TEREZINHA (Z LESTE) - SAO PAULO - SP ;19693;4;
Cliente Ficticio 4563;R ALZIMAR VARGAS BATISTA,   410 - PARQUE CONTINENTAL I - GUARULHOS - SP ;18801;4;
Cliente Ficticio 4564;R JOSE B. COSTA PEREIRA,    68 - JARDIM SUL - SAO JOSE DOS CAMPOS - SP ;17329;4;
Cliente Ficticio 4565;R PRCA ISABEL,429,A - CIDADE ALTA - NATAL - RN ;6712;4;
Cliente Ficticio 4566;R PIACATU,  1217, CASA C - MUNHOZ JUNIOR - OSASCO - SP ;21478;4;
Cliente Ficticio 4567;R GONCALVES DIAS,   525 - VILA PASSOS - NOVA LIMA - MG ;33943;4;
